Supplier,Sales overall,Units per day,Amount of Products,STD Units sold per day,Average Out of Stock,Median of Margin,% A Items,% B Items,% C Items,% A Revenue,% Revenue B,% Revenue C
NovaTech,60548.04,409.44,171,5.22,7.65,0.54,0.29,0.27,0.44,0.75,0.16,0.1
AuraStyle,48935.48,545.49,114,49.24,12.32,0.48,0.24,0.29,0.47,0.92,0.04,0.03
EcoHut,27675.43,147.95,96,1.28,6.06,0.55,0.15,0.27,0.58,0.58,0.25,0.17
CoreGoods,24276.38,151.88,114,7.15,13.99,0.47,0.51,0.12,0.37,0.96,0.02,0.02
PureVita,22829.49,139.94,38,2.52,6.46,0.5,0.28,0.3,0.42,0.78,0.16,0.06
UrbanApex,21573.08,85.13,69,1.1,9.33,0.57,0.4,0.38,0.22,0.74,0.21,0.04
Zenithly,20437.06,127.08,111,18.73,21.76,0.47,0.57,0,0.43,0.99,0,0.01
PeakFlow,11859.64,76.55,40,12,11.71,0.47,0.24,0.59,0.18,0.87,0.11,0.02
SwiftGear,11303.74,82.45,80,1.06,17.45,0.52,0.23,0.36,0.41,0.53,0.36,0.11
Kindred,10324.86,54.79,42,1.42,11.46,0.52,0.26,0.51,0.23,0.66,0.29,0.05
BoltLine,10181.12,30.4,69,8.37,9.64,0.51,0.29,0.14,0.57,0.98,0,0.01
Stellar,7738.6,47.19,54,2.04,8.66,0.49,0.23,0.25,0.52,0.68,0.18,0.14
VistaHome,8231.64,43.35,43,0.65,12.35,0.48,0.09,0.36,0.55,0.36,0.43,0.22
TerraPet,7434.86,38.26,40,2.41,6.79,0.55,0.16,0.49,0.35,0.59,0.36,0.05
FluxArt,5563.51,21.43,39,0.61,7.26,0.51,0.23,0.38,0.38,0.61,0.3,0.09
NeoLogic,4546.36,14.73,27,1.93,0.83,0.61,0.25,0.5,0.25,0.7,0.25,0.05
GloPoint,4091.73,25.88,25,0.54,8.07,0.55,0.08,0.37,0.56,0.24,0.54,0.22
PrimeHub,1746.99,4.21,23,0.23,4.52,0.54,0.14,0.32,0.55,0.39,0.45,0.16
VibeWare,1189.3,1.08,34,0.05,7.8,0.47,0.08,0.42,0.5,0.24,0.43,0.33
ArcadeX,991.98,2.16,22,0.06,9.64,0.54,0,0.02,0.98,0,0.09,0.91
Solely,771.62,5.07,5,0.45,2.88,0.51,0.1,0.3,0.6,0.24,0.47,0.29
WildRoot,178.42,0.54,4,0.07,0,0.43,0,0,1,0,0,1
