Supplier,Sales overall,Units per day,Amount of Products,STD Units sold per day,Average Out of Stock,Median of Margin,% A Items,% B Items,% C Items,% A Revenue,% Revenue B,% Revenue C,portfolio_purity,a_revenue_efficiency,total_gross_profit,profit_impact,reliability_at_scale,buffer_reliability,a_item_risk,negotiation_leverage,revenue_per_sku,sales_volatility,PCA1,PCA2,Cluster,Primary Driver,Sort_Priority,Buying Action
EcoHut,27675.43,147.95,96,1.28,6.06,0.55,0.15,0.27,0.58,0.58,0.25,0.17,-0.42999999999999994,3.6249999999999996,15221.4865,0.319,4.2974834932060775,1946.7105263157894,3.5147999999999997,46.79168294636862,285.31371134020617,0.008645727794663965,2.3461414651586288,-3.2261987014165907,3,High Scale / Balanced,0,PROTECT & EXPAND
CoreGoods,24276.38,151.88,114,7.15,13.99,0.47,0.51,0.12,0.37,0.96,0.02,0.02,0.14,1.846153846153846,11409.8986,0.45119999999999993,4.081116123605232,559.0674846625766,13.4304,47.91100475317959,211.09895652173913,0.04704566390314516,4.4747943937099635,1.7461395434228504,3,High Scale / Balanced,0,PROTECT & EXPAND
PureVita,22829.49,139.94,38,2.52,6.46,0.5,0.28,0.3,0.42,0.78,0.16,0.06,-0.13999999999999996,2.6896551724137927,11414.745,0.39,3.426895563789671,1192.6704545454545,5.0388,36.76696321450173,585.3715384615385,0.017994858611825194,2.029330406732269,-1.244905812701751,3,High Scale / Balanced,0,PROTECT & EXPAND
UrbanApex,21573.08,85.13,69,1.1,9.33,0.57,0.4,0.38,0.22,0.74,0.21,0.04,0.18000000000000002,1.8048780487804876,12296.6556,0.42179999999999995,3.8521106359661546,1216.1428571428569,6.9042,42.39678710807843,308.18685714285715,0.01290625366654934,2.908639065505062,0.5456388688524441,3,High Scale / Balanced,0,PROTECT & EXPAND
Zenithly,20437.06,127.08,111,18.73,21.76,0.47,0.57,0.0,0.43,0.99,0.0,0.01,0.13999999999999996,1.7068965517241381,9605.4182,0.4653,3.6917535169012816,193.22858590978205,21.5424,46.831828549812,182.47375000000002,0.14727158358232428,5.041659508610416,4.314426747160185,3,High Scale / Balanced,0,PROTECT & EXPAND
PeakFlow,11859.64,76.55,40,12.0,11.71,0.47,0.24,0.59,0.18,0.87,0.11,0.02,0.06,3.48,5574.0307999999995,0.4089,3.2787127776932334,176.65384615384616,10.187700000000001,34.83694764070264,289.25951219512194,0.15655577299412918,1.3242824309837546,2.9565664631793998,3,High Scale / Balanced,0,PROTECT & EXPAND
SwiftGear,11303.74,82.45,80,1.06,17.45,0.52,0.23,0.36,0.41,0.53,0.36,0.11,-0.17999999999999997,2.2083333333333335,5877.9448,0.2756,3.6276177771820985,1200.7281553398059,9.2485,41.01329458349349,139.55234567901235,0.012840702604482133,1.086977871618523,2.071085226341395,3,High Scale / Balanced,0,PROTECT & EXPAND
Kindred,10324.86,54.79,42,1.42,11.46,0.52,0.26,0.51,0.23,0.66,0.29,0.05,0.03,2.444444444444444,5368.9272,0.3432,3.33016658243508,679.2148760330579,7.563600000000001,34.76254117692956,240.11302325581397,0.025869921661504827,0.46550048724482107,2.0815305932045685,3,High Scale / Balanced,0,PROTECT & EXPAND
BoltLine,10181.12,30.4,69,8.37,9.64,0.51,0.29,0.14,0.57,0.98,0.0,0.01,-0.27999999999999997,3.2666666666666666,5192.3712000000005,0.4998,3.8389403007158007,97.33191035218785,9.4472,39.2067647185639,145.44457142857144,0.2744262295081967,0.6491695497467753,1.916717425589089,3,High Scale / Balanced,0,PROTECT & EXPAND
VistaHome,8231.64,43.35,43,0.65,12.35,0.48,0.09,0.36,0.55,0.36,0.43,0.22,-0.4600000000000001,3.6,3951.1871999999994,0.17279999999999998,3.316842214129356,788.1818181818182,4.446,34.117731596451115,187.08272727272725,0.014959723820483314,-1.421458920427051,0.42522003405339426,1,Low Portfolio Purity,1,MAINTAIN QUALITY
Stellar,7738.6,47.19,54,2.04,8.66,0.49,0.23,0.25,0.52,0.68,0.18,0.14,-0.29000000000000004,2.8333333333333335,3791.914,0.3332,3.660298131391339,465.69078947368416,5.888800000000001,35.8820832552979,140.7018181818182,0.04313808416155636,-0.7802800116480522,0.7795596361946859,1,Low Portfolio Purity,1,MAINTAIN QUALITY
TerraPet,7434.86,38.26,40,2.41,6.79,0.55,0.16,0.49,0.35,0.59,0.36,0.05,-0.18999999999999997,3.4705882352941173,4089.1730000000002,0.3245,3.4614205233750854,336.5982404692082,4.0061,33.10303957509947,181.3380487804878,0.06282586027111575,-1.159847444365461,0.8851585132651386,1,Low Strategic Scale,1,MAINTAIN QUALITY
FluxArt,5563.51,21.43,39,0.61,7.26,0.51,0.23,0.38,0.38,0.61,0.3,0.09,-0.15,2.5416666666666665,2837.3901,0.3111,3.4210668057452644,399.3167701863354,4.428599999999999,31.81350216139764,139.08775,0.028332559219693448,-1.4535506064791424,1.1421107788390936,1,Low Strategic Scale,1,MAINTAIN QUALITY
NeoLogic,4546.36,14.73,27,1.93,0.83,0.61,0.25,0.5,0.25,0.7,0.25,0.05,0.0,2.692307692307692,2773.2796,0.427,3.30454721274075,150.81911262798639,0.581,28.06483312289172,162.36999999999998,0.1301416048550236,-2.0173009234235657,0.7655249979263045,1,Low Strategic Scale,1,MAINTAIN QUALITY
GloPoint,4091.73,25.88,25,0.54,8.07,0.55,0.08,0.37,0.56,0.24,0.54,0.22,-0.48000000000000004,2.6666666666666665,2250.4515,0.132,2.9951681474031484,504.15584415584414,1.9368,27.097483044758274,157.37423076923076,0.020785219399538108,-3.292773175267185,-0.24592226762303268,1,Low Portfolio Purity,1,MAINTAIN QUALITY
PrimeHub,1746.99,4.21,23,0.23,4.52,0.54,0.14,0.32,0.55,0.39,0.45,0.16,-0.41000000000000003,2.5999999999999996,943.3746000000001,0.2106,3.0344057972162184,102.6829268292683,1.7628,23.728054902142,72.79125,0.05336426914153133,-3.8528332498455966,-0.011193690330215339,1,Low Portfolio Purity,1,MAINTAIN QUALITY
