SKU,Supplier,Purchase,Net Sales price,Tax numerical (1 = ermeassigt),Frozen numerical,Weight,A B C,Unit_sold_day,Sales
2000000000,Coastal Crustaceans,0.89,1.361225638,1,0,130.0,A,362.28174992467274,29460.30539415459
2000000011,Highland Honey,2.23,4.62805135,1,0,179.0,A,20.17894494350278,6547.300833251522
2000000004,Nature's Pantry,1.3,2.433142541,1,0,140.0,A,40.460280420926374,5961.776324851066
2000000002,Alpine Dairy Group,0.99,1.799858557,1,0,115.0,A,53.903220005387276,5808.766192945316
2000000006,City Deli Partners,1.2,1.932868911,1,0,140.0,A,34.116562896991184,5641.851476562468
2000000001,Savory Sauces Ltd,0.75,1.230398743,1,0,140.0,A,65.28639388945943,4896.614186120947
2000000009,Global Grains Co.,1.3,2.427078962,1,0,145.0,A,31.19653646714375,4755.693789537387
2000000003,Pure Springs Beverages,0.89,1.680236498,1,0,140.0,A,46.849424488710994,4748.22740923628
2000000016,Bistro Basics,2.65,4.36484375,1,0,210.0,A,16.58278538815991,4504.336626355564
2000000010,Fresh Harvest Ltd,1.58,2.426159776,1,0,140.0,A,25.80037323598798,4002.5801125393186
2000000005,Mediterranean Delights,1.3,1.80584194,1,0,105.0,A,32.92912591225391,3571.094887331679
2000000021,Alpine Dairy Group,1.55,3.426863426,1,0,500.0,A,15.402909875546248,3222.974529230819
2000000014,Nature's Pantry,1.5,3.016574451,1,0,120.0,A,16.833994811841162,3165.334607017301
2000000037,Golden Wheat Mills,3.0,5.971985112,1,0,355.0,A,7.972343323769353,2787.4748283309586
2000000032,Coastal Crustaceans,2.61,4.672276708,1,0,5.0,A,7.9184559302328585,2545.230243685582
2000000017,Pure Springs Beverages,1.3,2.030684667,1,0,100.0,A,19.242418020252224,2458.3054837372233
2000000008,Green Leaf Distribution,0.69,1.455959438,1,0,120.0,A,26.47104888347446,2403.6942934849603
2000000033,Fresh Harvest Ltd,1.55,4.565091278,1,1,500.0,A,8.825673231047805,2402.7788608382602
2000000007,Tropical Tastes,0.85,1.548731343,1,0,137.0,A,25.275184847548868,2366.3274189361928
2000000013,Riverside Rice,0.89,1.582494465,1,0,140.0,A,22.668551839425223,2327.5844698803517
2000000067,Mountain Meat Co.,4.59,11.90950893,1,1,700.0,A,3.288349967669653,2230.278777964777
