Supplier,Sales overall,Units per day,Amount of Products,STD Units sold per day,Average Out of Stock,Median of Margin,% A Items,% B Items,% C Items,% A Revenue,% Revenue B,% Revenue C
Global Grains Co.,16035.33,107.03,73,4.28,4.44,0.53,0.15,0.29,0.56,0.7,0.2,0.1
Fresh Harvest Ltd,15770.44,89.6,64,3.42,11.6,0.52,0.2,0.28,0.52,0.72,0.19,0.1
Alpine Dairy Group,18228.65,128.71,50,8.4,11.45,0.53,0.22,0.26,0.52,0.84,0.09,0.07
Ocean Catch Inc,6587.62,37.33,52,1.16,9.98,0.53,0.1,0.25,0.65,0.46,0.3,0.24
Eco-Groceries,8948.47,53.24,53,1.63,5.66,0.52,0.13,0.34,0.53,0.53,0.31,0.16
Urban Spices Ltd,6176.2,38.48,55,0.67,5.2,0.53,0.05,0.47,0.47,0.19,0.65,0.16
Green Leaf Distribution,10511.77,56.01,52,3.64,2.09,0.53,0.13,0.25,0.62,0.68,0.19,0.13
Sun-Kissed Fruits,4587.15,31.59,39,0.83,2.74,0.53,0.18,0.28,0.54,0.47,0.35,0.18
Peak Protein Supplies,8661.13,55.54,57,2.11,3.74,0.53,0.11,0.42,0.47,0.41,0.43,0.16
Nature's Pantry,18186.16,92.55,47,6.23,9.12,0.53,0.23,0.4,0.36,0.77,0.19,0.04
Artisan Bakery Wholesalers,10053.76,56.91,56,2.32,8.3,0.54,0.18,0.21,0.61,0.72,0.17,0.1
Pure Springs Beverages,15450.73,100.74,46,7.34,8.02,0.53,0.24,0.17,0.59,0.83,0.09,0.08
Nordic Frozen Foods,7810.28,40.28,56,0.89,8.34,0.53,0.18,0.23,0.59,0.57,0.26,0.17
Mediterranean Delights,9363.02,64.75,49,4.66,11.59,0.52,0.1,0.35,0.55,0.56,0.29,0.15
Savory Sauces Ltd,14628.93,107.19,60,8.42,3.58,0.53,0.17,0.28,0.55,0.72,0.18,0.1
Organic Oasis,6903.37,49.25,52,2.64,13.68,0.52,0.08,0.29,0.63,0.49,0.33,0.18
Mountain Meat Co.,14605.78,76.77,49,2.98,9.08,0.51,0.33,0.31,0.37,0.79,0.15,0.06
Tropical Tastes,9132.39,61.72,54,3.4,2.7,0.52,0.15,0.33,0.52,0.55,0.32,0.13
Golden Wheat Mills,12126.2,69.5,59,2.24,3.83,0.53,0.14,0.34,0.53,0.61,0.25,0.13
City Deli Partners,14999.51,90.28,59,4.56,10.15,0.51,0.14,0.34,0.53,0.68,0.23,0.09
Highland Honey,14029.68,64.88,55,3.16,14.41,0.53,0.11,0.27,0.62,0.73,0.17,0.1
Riverside Rice,5859.64,43.36,30,4.19,5.25,0.52,0.13,0.2,0.67,0.71,0.16,0.13
Valley Veggies,6893.91,33.75,52,0.88,5.29,0.54,0.13,0.33,0.54,0.39,0.46,0.14
Coastal Crustaceans,41801.68,433.35,50,51.09,5.84,0.53,0.24,0.3,0.46,0.92,0.05,0.03
Bistro Basics,12409.85,56.42,53,2.49,6.75,0.53,0.19,0.17,0.64,0.76,0.13,0.11
