session_id,sku_id,duration_sec,action
0c8181de,ELEC-1031,56,0
232463a0,ELEC-1043,127,1
f81865e1,ELEC-1019,225,0
5518fef5,ELEC-1074,391,0
c86f4f6f,ELEC-1026,298,0
941194a0,ELEC-1052,294,0
5b0306e6,ELEC-1005,395,0
3d54cd1a,ELEC-1046,113,0
86774a32,ELEC-1005,327,0
31a9745d,ELEC-1000,337,0
6ec72c71,ELEC-1024,184,2
c6a8d62f,ELEC-1062,276,0
5b6e9e92,ELEC-1091,105,0
5aa4fd37,ELEC-1018,194,0
a47a36da,ELEC-1070,94,2
14453d2b,ELEC-1013,128,0
2f8f7269,ELEC-1094,93,0
4ebc14e0,ELEC-1080,275,0
0e53a45f,ELEC-1045,352,0
19df492c,ELEC-1085,311,0
cb2a6400,ELEC-1083,269,0
c0f7ab37,ELEC-1022,373,0
4a7b1e43,ELEC-1008,58,0
771c3f01,ELEC-1064,391,0
e9eed122,ELEC-1079,284,0
337aae95,ELEC-1085,277,0
c3b4658e,ELEC-1051,164,0
817b7c85,ELEC-1070,131,0
e6258caf,ELEC-1063,337,2
e0a95a74,ELEC-1044,224,1
8570f22a,ELEC-1043,184,0
15943d70,ELEC-1018,16,0
ba729e6e,ELEC-1060,341,0
cbf34f76,ELEC-1015,118,0
1b8091c9,ELEC-1043,392,1
725e73ba,ELEC-1025,127,0
41cc6953,ELEC-1060,310,0
7a952508,ELEC-1060,144,0
379af8d5,ELEC-1086,124,0
4f109a09,ELEC-1026,29,2
da5536db,ELEC-1070,335,1
e015091c,ELEC-1022,23,0
61fce2ca,ELEC-1005,20,0
3cd9254d,ELEC-1098,374,2
2beb9e2d,ELEC-1039,393,0
09dd7653,ELEC-1065,332,0
e6b06c78,ELEC-1088,282,0
9fd9d145,ELEC-1024,239,0
9e08fbc4,ELEC-1051,255,0
88d50c18,ELEC-1060,331,0
ee162b53,ELEC-1022,137,2
b2c69034,ELEC-1071,170,0
ff917c35,ELEC-1004,247,0
cb85a8dd,ELEC-1072,244,0
20c2f2d8,ELEC-1086,354,0
528f53fb,ELEC-1085,74,0
ea47699e,ELEC-1053,24,0
f8447c77,ELEC-1042,200,2
897d62a2,ELEC-1046,43,0
564e293d,ELEC-1089,79,0
1408faff,ELEC-1032,370,0
70e56753,ELEC-1064,346,0
5b2b9b8d,ELEC-1080,96,0
73b4be8c,ELEC-1088,133,0
1de6f131,ELEC-1074,288,0
f5fc65e6,ELEC-1018,316,0
692007a1,ELEC-1091,126,0
c948bb85,ELEC-1069,292,0
9a453826,ELEC-1012,144,0
e556aa60,ELEC-1075,277,0
0cfc47b9,ELEC-1003,269,0
8b4768da,ELEC-1091,336,0
feb7c206,ELEC-1093,324,0
ff2e38e7,ELEC-1079,179,0
04a31b09,ELEC-1046,123,0
abd51d51,ELEC-1036,300,0
d205b695,ELEC-1096,236,0
ff280ac6,ELEC-1059,247,0
3a722212,ELEC-1077,280,0
af7e0836,ELEC-1056,171,0
dafdf6e4,ELEC-1067,245,0
20b82f43,ELEC-1092,102,2
578a39b5,ELEC-1029,153,1
a9c178a1,ELEC-1001,136,0
e7b84abf,ELEC-1081,398,0
30d60be7,ELEC-1074,395,1
c95b4691,ELEC-1065,213,0
bf1eee47,ELEC-1093,389,2
a1e6bf73,ELEC-1092,340,0
dc1f9ca4,ELEC-1048,349,1
159a976b,ELEC-1043,120,0
16575fa8,ELEC-1069,364,0
9485196e,ELEC-1050,360,0
c5a603f8,ELEC-1038,336,2
5617d812,ELEC-1067,78,2
f642d9ab,ELEC-1068,90,2
1b84993c,ELEC-1099,193,0
0fc0fced,ELEC-1029,141,1
48b8afda,ELEC-1062,357,0
0bd4aaf6,ELEC-1041,147,0
053beb92,ELEC-1013,232,0
83344e66,ELEC-1066,337,0
93db9f7c,ELEC-1065,69,0
24d1743d,ELEC-1004,177,0
e8d4bc82,ELEC-1039,148,0
569893d6,ELEC-1070,389,0
97394aa4,ELEC-1099,297,1
a7c7e156,ELEC-1014,236,0
c5f2d7e2,ELEC-1071,149,1
91f450aa,ELEC-1074,194,0
94e6cd47,ELEC-1033,151,2
34c5b92e,ELEC-1060,57,0
e3a06dbc,ELEC-1079,72,0
0a91d18a,ELEC-1066,153,1
33f7e910,ELEC-1071,354,1
134cecbc,ELEC-1086,318,0
c903be20,ELEC-1089,94,0
91295cc0,ELEC-1095,31,0
