session_id,sku_id,duration_sec,action
00d5c024,ELEC-1075,37,0
4b51f819,ELEC-1084,96,0
3fae866c,ELEC-1253,370,0
df0868d2,ELEC-1109,55,0
aa0674fc,ELEC-1105,33,0
dfcd98f3,ELEC-1179,312,0
5275d402,ELEC-1137,340,0
d3627b64,ELEC-1235,309,0
38157790,ELEC-1005,336,0
fd21bc5b,ELEC-1070,195,0
0319df55,ELEC-1218,157,0
e0eb1f54,ELEC-1177,318,0
1ea41ec6,ELEC-1095,388,0
af1cf327,ELEC-1220,377,0
58ce8ee4,ELEC-1123,212,0
8c147d6c,ELEC-1145,39,0
83727e0e,ELEC-1225,64,0
d039ae0f,ELEC-1217,56,0
d36b2a2c,ELEC-1141,180,0
c4f9c871,ELEC-1256,356,0
877530b8,ELEC-1156,165,0
aee358aa,ELEC-1165,130,0
99d76250,ELEC-1133,336,0
08c6328f,ELEC-1282,239,0
423200f0,ELEC-1021,147,0
c0cdb57b,ELEC-1290,179,0
012974de,ELEC-1256,124,0
3961d725,ELEC-1199,99,0
377a6e55,ELEC-1262,259,0
2471b759,ELEC-1178,129,0
9a775132,ELEC-1001,23,0
3eddfac3,ELEC-1278,81,1
07b0a834,ELEC-1282,54,0
823688fb,ELEC-1065,90,0
de5f3ee8,ELEC-1225,99,0
229830b2,ELEC-1166,217,0
1fa489af,ELEC-1201,394,0
816dc3e8,ELEC-1206,93,0
9ccc5a86,ELEC-1145,362,0
dd5e4726,ELEC-1072,87,1
afb87f5d,ELEC-1147,281,0
6dd2b7d9,ELEC-1279,166,0
ce330a10,ELEC-1230,386,0
71f74302,ELEC-1120,120,0
bed6ac56,ELEC-1183,306,2
99e8169b,ELEC-1058,261,0
7036604c,ELEC-1267,288,0
26703bbf,ELEC-1254,342,0
13a33629,ELEC-1296,211,0
ac043edb,ELEC-1131,289,0
f6064a45,ELEC-1091,284,0
1c804806,ELEC-1139,239,0
31b41ace,ELEC-1228,374,0
d13dd25d,ELEC-1281,186,0
023d1fce,ELEC-1267,258,0
85a37540,ELEC-1191,359,0
8494af7a,ELEC-1279,195,0
a62698d5,ELEC-1269,385,1
e9a12e31,ELEC-1058,46,0
7c22d92a,ELEC-1065,309,0
a1e95f98,ELEC-1112,214,0
78feaa26,ELEC-1193,252,1
b7ff7ea1,ELEC-1187,239,0
0afe20ce,ELEC-1123,192,0
6b465de8,ELEC-1224,88,0
8d7c5a86,ELEC-1085,233,0
04204a89,ELEC-1101,340,0
755db8bd,ELEC-1295,366,0
42b47966,ELEC-1167,163,0
0785331b,ELEC-1155,204,0
b27a5f11,ELEC-1246,240,0
5dd1c6de,ELEC-1011,63,0
05e1bdc7,ELEC-1218,343,0
8bb24a13,ELEC-1113,69,0
ff3bca68,ELEC-1242,288,1
d752bf69,ELEC-1191,300,0
5ce624c2,ELEC-1093,63,0
aefbbde2,ELEC-1086,203,0
eea0cc33,ELEC-1012,10,0
6df37281,ELEC-1184,343,0
b92b3c0a,ELEC-1240,207,0
b2061d8f,ELEC-1050,394,0
0145f5f3,ELEC-1268,206,0
291d07f2,ELEC-1239,397,0
dee4614a,ELEC-1117,243,0
d9eee172,ELEC-1283,331,0
5e467a43,ELEC-1005,279,0
678d20ea,ELEC-1121,281,0
07c6f8cd,ELEC-1264,114,0
0b26fa19,ELEC-1031,215,0
4bf7b23d,ELEC-1161,124,0
4ccc4023,ELEC-1230,108,0
02a63e43,ELEC-1256,371,1
97ff965a,ELEC-1258,181,0
94dda0ac,ELEC-1073,303,0
ba477a4c,ELEC-1138,329,0
5b704de0,ELEC-1153,293,0
ef53d91d,ELEC-1106,364,0
323cd200,ELEC-1277,123,0
4a309fbc,ELEC-1216,270,0
5b3d080f,ELEC-1252,16,1
94242de8,ELEC-1096,263,1
4c845573,ELEC-1114,168,0
4045819d,ELEC-1123,297,0
3eabb197,ELEC-1107,368,0
d380daef,ELEC-1102,269,0
ab392b61,ELEC-1027,302,0
498c26a8,ELEC-1222,303,0
69421121,ELEC-1040,263,0
791f3325,ELEC-1212,237,0
63f3e8f8,ELEC-1054,203,0
0b5c6d55,ELEC-1069,37,0
d42415f3,ELEC-1020,378,0
18aada90,ELEC-1199,177,0
e5ada458,ELEC-1244,309,0
1f098ac7,ELEC-1242,267,0
3330197f,ELEC-1173,198,0
40baf70a,ELEC-1204,62,0
234cf0e3,ELEC-1167,197,0
afe36c5a,ELEC-1052,260,1
0ad5551b,ELEC-1153,317,0
2ed9895a,ELEC-1032,236,0
a5060fa7,ELEC-1133,81,0
04c1851a,ELEC-1249,173,0
ba066b12,ELEC-1238,388,0
f968ead3,ELEC-1029,82,0
0b903557,ELEC-1110,158,0
fc91b424,ELEC-1064,328,0
e565b33f,ELEC-1102,208,0
4adb36f9,ELEC-1231,270,0
f70e362c,ELEC-1039,239,0
59defd2f,ELEC-1030,357,0
bdbac584,ELEC-1009,223,2
8eb45758,ELEC-1182,128,0
9a6fac2a,ELEC-1061,61,0
b8e79c12,ELEC-1039,94,0
3b6a7666,ELEC-1220,272,0
1a7e25b9,ELEC-1080,263,0
