sku_id,product_name,category,base_cost,current_msrp,inventory_level,elasticity_factor,ideal_velocity
ELEC-1000,Cameras Device 0,Cameras,762.05,1294.28,198,1.9639878836228102,0.03337498258560773
ELEC-1001,Peripherals Device 1,Peripherals,383.62,672.89,369,1.1674172222780437,0.020617534828874073
ELEC-1002,Computers Device 2,Computers,585.94,873.58,395,2.3771054180315003,0.025502135295603016
ELEC-1003,Cameras Device 3,Cameras,500.97,774.31,354,0.5141326104394348,0.03835558684167138
ELEC-1004,Computers Device 4,Computers,65.93,107.34,280,2.4475110376829186,0.04355527884179041
ELEC-1005,Peripherals Device 5,Peripherals,324.5,593.82,140,2.4664617716135764,0.04040922615763339
ELEC-1006,Audio Device 6,Audio,80.09,134.68,325,2.3977710745066663,0.03156249507619749
ELEC-1007,Computers Device 7,Computers,105.21,183.23,376,1.8684660530243138,0.03829989973347863
ELEC-1008,Peripherals Device 8,Peripherals,730.18,1298.02,369,1.0175599632000338,0.032754676234737344
ELEC-1009,Computers Device 9,Computers,467.13,835.02,411,0.5626265849111172,0.048184968246925676
ELEC-1010,Cameras Device 10,Cameras,490.38,826.4,465,2.3437484700462337,0.035625027800774714
ELEC-1011,Smart Home Device 11,Smart Home,329.28,557.6,62,1.0426980635477918,0.04895765921792414
ELEC-1012,Cameras Device 12,Cameras,447.88,664.04,24,0.7818484499495253,0.02046909220223582
ELEC-1013,Audio Device 13,Audio,624.63,878.88,481,0.8974313630683448,0.025965272122664154
ELEC-1014,Peripherals Device 14,Peripherals,638.44,1008.24,499,1.7119199495620228,0.023476071785753894
ELEC-1015,Audio Device 15,Audio,509.94,808.46,57,1.1617960497052984,0.04006523757990822
ELEC-1016,Smart Home Device 16,Smart Home,591.8,994.59,484,1.7751149427104262,0.0314878062426137
ELEC-1017,Peripherals Device 17,Peripherals,615.8,940.97,264,1.6225543951389925,0.021213007686152942
ELEC-1018,Computers Device 18,Computers,49.57,91.6,72,0.7157828539866089,0.03426110669546335
ELEC-1019,Smart Home Device 19,Smart Home,421.6,717.65,416,2.3151329478521863,0.0361952327390502
ELEC-1020,Smart Home Device 20,Smart Home,206.17,360.27,196,0.653959819657586,0.04641403517045774
ELEC-1021,Computers Device 21,Computers,652.25,1062.04,143,1.766807513020847,0.02655321311650501
ELEC-1022,Cameras Device 22,Cameras,717.27,1131.96,357,1.5786844838313014,0.04720485324637262
ELEC-1023,Audio Device 23,Audio,205.51,323.94,125,1.3542155772525126,0.029143437744740874
ELEC-1024,Peripherals Device 24,Peripherals,351.41,539.31,316,0.9442156209414605,0.027323765667433227
ELEC-1025,Peripherals Device 25,Peripherals,278.87,446.72,242,1.5375812434867322,0.02194676741326945
ELEC-1026,Computers Device 26,Computers,771.08,1354.13,395,1.0035645916507283,0.024442607898601997
ELEC-1027,Audio Device 27,Audio,235.42,335.65,229,2.453229911665306,0.028359393927098346
ELEC-1028,Audio Device 28,Audio,518.45,852.71,62,1.8614109031095336,0.049569513623318025
ELEC-1029,Cameras Device 29,Cameras,92.26,162.75,410,1.239308912122809,0.0310334939815776
ELEC-1030,Cameras Device 30,Cameras,787.24,1416.37,249,1.2976488848891061,0.024521526318962886
ELEC-1031,Peripherals Device 31,Peripherals,173.62,271.36,157,0.5815502831095278,0.02660723142696645
ELEC-1032,Computers Device 32,Computers,424.31,614.44,361,0.9529915503958759,0.04821569793468812
ELEC-1033,Computers Device 33,Computers,675.04,983.35,450,1.8513802340785614,0.04774080854835688
ELEC-1034,Computers Device 34,Computers,228.62,432.33,355,1.819968092068358,0.03549907673813043
ELEC-1035,Audio Device 35,Audio,216.23,363.08,149,0.6862055356117984,0.04647909029568019
ELEC-1036,Audio Device 36,Audio,244.73,452.4,217,1.9007156599455426,0.046612592727953525
ELEC-1037,Audio Device 37,Audio,524.36,940.01,465,0.6682799299900977,0.040069647641426856
ELEC-1038,Peripherals Device 38,Peripherals,316.66,444.12,162,2.3802668849155566,0.02482424154252496
ELEC-1039,Computers Device 39,Computers,403.92,610.79,454,1.3968482859724947,0.04136537664042608
ELEC-1040,Audio Device 40,Audio,410.3,727.08,393,0.8576454184426576,0.041628197727563876
ELEC-1041,Audio Device 41,Audio,447.76,686.23,479,1.51762815367752,0.027319689301372508
ELEC-1042,Smart Home Device 42,Smart Home,404.79,727.57,36,2.312197575437108,0.035079112793155766
ELEC-1043,Cameras Device 43,Cameras,545.07,899.15,326,2.2283351301438064,0.03716012597627549
ELEC-1044,Audio Device 44,Audio,63.57,119.33,167,2.4891010215946823,0.04744593170661346
ELEC-1045,Peripherals Device 45,Peripherals,605.74,977.73,358,2.4061436940479064,0.04899964457131009
ELEC-1046,Peripherals Device 46,Peripherals,784.86,1249.92,262,0.6506925120122564,0.04553410014550571
ELEC-1047,Peripherals Device 47,Peripherals,160.51,292.47,232,1.6136025249167003,0.047900505044324956
ELEC-1048,Computers Device 48,Computers,503.56,768.97,459,2.4801077002085266,0.028858717652568165
ELEC-1049,Computers Device 49,Computers,600.39,1053.36,308,1.894031481990536,0.03658459930723723
ELEC-1050,Computers Device 50,Computers,653.21,1114.21,418,2.1202267893583615,0.02244782541200721
ELEC-1051,Audio Device 51,Audio,513.48,899.09,273,0.8885479070240845,0.043873780083083035
ELEC-1052,Cameras Device 52,Cameras,712.7,1031.26,363,0.5552335437474094,0.037348404229885224
ELEC-1053,Peripherals Device 53,Peripherals,388.51,706.88,134,1.5852892694151532,0.04581213854935026
ELEC-1054,Audio Device 54,Audio,58.76,98.04,63,2.1452011213193165,0.02979953725388123
ELEC-1055,Smart Home Device 55,Smart Home,239.09,344.93,112,2.4305036607815396,0.02155045163505823
ELEC-1056,Cameras Device 56,Cameras,346.74,611.32,433,1.8990244215343877,0.04927556238387604
ELEC-1057,Cameras Device 57,Cameras,580.24,890.91,129,0.5821350335357516,0.03316914262116909
ELEC-1058,Computers Device 58,Computers,49.52,79.93,288,2.42529682935585,0.04065499702296099
ELEC-1059,Audio Device 59,Audio,163.44,248.41,299,0.8128740853421721,0.022816198702438752
ELEC-1060,Audio Device 60,Audio,538.35,892.77,281,1.0598677938918857,0.03971333985500501
ELEC-1061,Smart Home Device 61,Smart Home,501.02,843.23,85,1.3392001248555798,0.02475939342927473
ELEC-1062,Audio Device 62,Audio,293.25,416.52,56,0.6835981316268838,0.04566381752033022
ELEC-1063,Cameras Device 63,Cameras,165.0,271.57,483,0.5343222036635005,0.03420415312341697
ELEC-1064,Audio Device 64,Audio,387.8,662.33,259,1.7995473652855267,0.03905280952602931
ELEC-1065,Computers Device 65,Computers,230.89,381.33,156,0.5306090805807695,0.045694695235649674
ELEC-1066,Smart Home Device 66,Smart Home,556.65,958.11,345,1.7317023287798277,0.020795339316248655
ELEC-1067,Peripherals Device 67,Peripherals,646.73,1113.44,172,1.8543366847659635,0.0337475867147455
ELEC-1068,Peripherals Device 68,Peripherals,661.89,1244.75,74,1.7518793402031456,0.047160519258681914
ELEC-1069,Cameras Device 69,Cameras,240.95,339.53,311,0.9291782394167483,0.022833288822677853
ELEC-1070,Peripherals Device 70,Peripherals,289.15,526.95,102,1.8114452707614843,0.020698158072074778
ELEC-1071,Computers Device 71,Computers,230.73,403.41,323,1.4920749085868124,0.03886828540339652
ELEC-1072,Smart Home Device 72,Smart Home,60.17,100.73,258,1.3358920634311575,0.03270412826924356
ELEC-1073,Peripherals Device 73,Peripherals,792.69,1208.86,475,1.325235353822853,0.037416320370317294
ELEC-1074,Smart Home Device 74,Smart Home,213.72,379.84,288,1.8596895598004917,0.023093716065077978
ELEC-1075,Audio Device 75,Audio,441.43,688.65,226,1.4931223813661554,0.04686569685488602
ELEC-1076,Audio Device 76,Audio,71.18,102.91,412,2.417082993766397,0.029579409127712446
ELEC-1077,Cameras Device 77,Cameras,471.55,681.79,382,1.7636744243395985,0.03807322777703357
ELEC-1078,Cameras Device 78,Cameras,547.84,980.99,160,2.00474905887536,0.02340393806052344
ELEC-1079,Smart Home Device 79,Smart Home,410.7,586.46,232,0.6151175200332886,0.04211106670373027
ELEC-1080,Smart Home Device 80,Smart Home,300.2,523.56,85,0.7341340328552117,0.04510891622712122
ELEC-1081,Audio Device 81,Audio,107.86,163.01,150,0.6682136122299949,0.03189954805862756
ELEC-1082,Peripherals Device 82,Peripherals,573.81,870.24,174,0.6626975612837995,0.03743916251680347
ELEC-1083,Smart Home Device 83,Smart Home,315.39,597.04,336,2.125599134515005,0.04260134555776825
ELEC-1084,Cameras Device 84,Cameras,94.3,165.26,191,2.0542938318548734,0.02746172463290864
ELEC-1085,Peripherals Device 85,Peripherals,115.62,185.3,150,1.4852502085817183,0.037144190756150317
ELEC-1086,Cameras Device 86,Cameras,121.49,215.29,370,0.7350524935542098,0.04043118281290727
ELEC-1087,Cameras Device 87,Cameras,770.87,1111.17,378,1.2497411590474081,0.035851103638916276
ELEC-1088,Smart Home Device 88,Smart Home,771.68,1294.88,169,0.5243089493796327,0.02968059164832751
ELEC-1089,Smart Home Device 89,Smart Home,794.58,1388.7,236,0.6475931294707977,0.022263036412693078
ELEC-1090,Audio Device 90,Audio,196.94,337.52,10,1.0889878936788597,0.03752942935769301
ELEC-1091,Audio Device 91,Audio,734.75,1355.7,281,2.4174048148156926,0.03366970258357139
